Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
1 MILLION,5500,2750,1375,575,300,155,Designer
1 MILLION ELIXIR,10500,5250,2625,1075,550,280,Designer
1 MILLION LUCKY,8250,4125,2063,850,438,225,Designer
1 MILLION LUCKY HI,7250,3625,1813,750,388,200,Designer
1 MILLION PRIVE,6000,3000,1500,625,325,170,Designer
1 MILLION STRONG,7500,3750,1875,775,400,205,Designer
1001 NIGHT,4500,2250,1125,475,250,130,Ajmal
1001 NIGHT STRONG,22500,11250,5625,2275,1150,580,Ajmal
212 HEROES,6750,3375,1688,700,363,185,Designer
212 VIP W,6000,3000,1500,625,325,170,Designer
24 CARAT,6500,3250,1625,675,350,180,Designer
24 CARAT HM,6000,3000,1500,625,325,170,Designer
40 KNOTS,9250,4625,2313,950,488,250,Designer
ACCENTO,16000,8000,4000,1625,825,420,Designer
AFFLUENT,4750,2375,1188,500,263,135,Designer
AFSHAAN,10500,5250,2625,1075,550,280,Designer
AFTERNOON SWIM HD,13250,6625,3313,1350,688,350,Designer
AFTERNOON SWIM HG,32000,16000,8000,3225,1625,820,Designer
AFTERNOON SWIM HH,29250,14625,7313,2950,1488,750,Designer
AFTERNOON SWIM HI,24000,12000,6000,2425,1225,620,Designer
AJMAL BLUE,6000,3000,1500,625,325,170,Ajmal
AJWAD,21250,10625,5313,2150,1088,550,Ajmal
AJWAD HH,10500,5250,2625,1075,550,280,Ajmal
AL WISAM,6000,3000,1500,625,325,170,Ajmal
AL WISAM SUPER,26250,13125,6563,2650,1338,675,Ajmal
ALHAMD,4500,2250,1125,475,250,130,Designer
ALINA,17500,8750,4375,1775,900,455,Designer
ALTHAIR,10500,5250,2625,1075,550,280,Designer
AMARIGE W,5000,2500,1250,525,275,145,Designer
AMATHEEL,10500,5250,2625,1075,550,280,Designer
AMBER FRESH,8000,4000,2000,825,425,220,Arabian
AMBER OUDH,4750,2375,1188,500,263,135,Arabian
AMBER RIJALI,29250,14625,7313,2950,1488,750,Ajmal
AMBER ROSE,24000,12000,6000,2425,1225,620,Indian
AMBER WOOD HI,7000,3500,1750,725,375,195,Arabian
AMBER ZAFRAN,26500,13250,6625,2675,1350,680,Arabian
AMBERWOOD,16000,8000,4000,1625,825,420,Arabian
AMBITION,12000,6000,3000,1225,625,320,Designer
AMEER AL OUD,5500,2750,1375,575,300,155,Arabian
AMEER AL OUDH NEW,5000,2500,1250,525,275,145,Arabian
AMEERAL OUD,8750,4375,2188,900,463,235,Arabian
AMEERAT AL ARAB,10500,5250,2625,1075,550,280,Designer
ANGEL'S SHARE,17250,8625,4313,1750,888,450,Designer
ANI EXTRAIT,8500,4250,2125,875,450,230,Designer
AQUA ALLEGORIA TEAZURRA,16000,8000,4000,1625,825,420,Designer
ARABIAN NIGHTS,6500,3250,1625,675,350,180,Designer
ARABIAN OUD,7500,3750,1875,775,400,205,Arabian
ARABIAN TONKA,13250,6625,3313,1350,688,350,Designer
ARABIAN TONKA HI,6250,3125,1563,650,338,175,Designer
ARBA WARDAT HM,8000,4000,2000,825,425,220,Designer
ARISTOCRAT,5750,2875,1438,600,313,160,Designer
ARMANI AQUA DI GIO,4250,2125,1063,450,238,125,Designer
ARMANI CODE,4000,2000,1000,425,225,120,Designer
ARMANI MEN,12500,6250,3125,1275,650,330,Designer
ARMANI PASSION,8000,4000,2000,825,425,220,Designer
ASAD,12000,6000,3000,1225,625,320,Designer
ASEEL HA,6000,3000,1500,625,325,170,Designer
ASEEL HI,4500,2250,1125,475,250,130,Designer
ASEEL HM,9250,4625,2313,950,488,250,Designer
ASEEL STRONG,7250,3625,1813,750,388,200,Designer
ATOOF,18500,9250,4625,1875,950,480,Designer
ATTAR AL KAABA,6000,3000,1500,625,325,170,Designer
ATTAR HINA,2000,1000,500,225,125,70,Indian
ATTAR MITTI,9250,4625,2313,950,488,250,Indian
ATTAR MITTI S,18500,9250,4625,1875,950,480,Indian
ATTAR PARIJATAK,4500,2250,1125,475,250,130,Designer
ATTAR ZAFRAN SUPER,40000,20000,10000,4025,2025,1020,Designer
ATTAR ZAFRAN SYN,8000,4000,2000,825,425,220,Designer
ATTARFULL (AHSAN),3250,1625,813,350,188,100,Designer
AURUM,12000,6000,3000,1225,625,320,Designer
